Practice Name,Provider Name,Email,Phone,City,Specialty,SimplePractice User,Priority,Notes
Mindful Recovery Associates,Dr. Sarah Mitchell,smitchell@mindfulrecovery.com,703-555-0101,Arlington,Addiction/Trauma,Yes,HIGH,Solo practice near VA Hospital
Serenity Springs Counseling,Jennifer Chen LCSW,jchen@serenitysprings.net,571-555-0102,Alexandria,Substance Abuse,Yes,HIGH,Mentioned needing crisis tools on LinkedIn
Northern VA Therapy Center,Dr. Michael Roberts,mroberts@nvatherapy.com,703-555-0103,Fairfax,Dual Diagnosis,No,HIGH,Large practice - 12 therapists
Healing Pathways LLC,Amanda Williams LPC,awilliams@healingpathways.org,540-555-0104,Richmond,Trauma/PTSD,Yes,MEDIUM,Active on therapy forums
Potomac Behavioral Health,Dr. James Thompson,jthompson@potomacbh.com,703-555-0105,McLean,Anxiety/Depression,Yes,HIGH,Uses SimplePractice API
Recovery First Counseling,Lisa Anderson LCSW,landerson@recoveryfirst.net,571-555-0106,Reston,Addiction Recovery,Yes,HIGH,Specializes in MAT patients
Compass Mental Health,Dr. Patricia Brown,pbrown@compassmh.org,703-555-0107,Vienna,Teletherapy,No,MEDIUM,100% virtual practice
Blue Ridge Therapy Group,Steven Garcia LPC,sgarcia@blueridgetherapy.com,540-555-0108,Charlottesville,Addiction/Family,Yes,MEDIUM,University affiliated
Capital Wellness Center,Dr. Emily Davis,edavis@capitalwellness.net,202-555-0109,Arlington,Integrated Care,Yes,HIGH,Near DC - high volume
Mindbridge Counseling,Rachel Johnson LCSW,rjohnson@mindbridge.org,703-555-0110,Falls Church,Substance Abuse,No,MEDIUM,New practice - growth focused
Hope Harbor Therapy,Dr. David Lee,dlee@hopeharbor.net,571-555-0111,Herndon,Crisis Intervention,Yes,HIGH,24/7 crisis line already
Clarity Mental Health Services,Maria Rodriguez LPC,mrodriguez@claritymentalhealth.com,703-555-0112,Manassas,Bilingual Services,Yes,HIGH,Spanish speaking patients
Lighthouse Counseling Center,Dr. Kevin White,kwhite@lighthousecounseling.org,540-555-0113,Fredericksburg,Veterans/Trauma,No,HIGH,Works with VA referrals
Peaceful Mind Therapy,Susan Taylor LCSW,staylor@peacefulmind.net,703-555-0114,Springfield,Anxiety/OCD,Yes,MEDIUM,Solo practitioner
New Beginnings Mental Health,Dr. Robert Martinez,rmartinez@newbeginnings.com,571-555-0115,Woodbridge,Addiction/Recovery,Yes,HIGH,MAT provider
Thrive Behavioral Health,Nicole Brown LPC,nbrown@thrivebh.org,703-555-0116,Burke,Adolescent/Family,No,LOW,Younger population
Wellness Within Counseling,Dr. Jennifer Wilson,jwilson@wellnesswithin.net,540-555-0117,Lynchburg,Holistic/Mindfulness,Yes,MEDIUM,Integrated approach
Arlington Therapy Associates,Thomas Anderson LCSW,tanderson@arlingtontherapy.com,703-555-0118,Arlington,Group Therapy,Yes,HIGH,Runs 5 IOP groups
Bridges to Recovery,Dr. Michelle Clark,mclark@bridgestorecovery.net,571-555-0119,Leesburg,Dual Diagnosis,Yes,HIGH,Residential referrals
Serenity Now Counseling,Christopher Lewis LPC,clewis@serenitynow.org,703-555-0120,Annandale,Crisis/Trauma,No,HIGH,Emergency response team
Mind Matters Therapy,Dr. Ashley Moore,amoore@mindmatters.com,540-555-0121,Roanoke,Teletherapy,Yes,MEDIUM,Remote only practice
Turning Point Mental Health,Jessica Hall LCSW,jhall@turningpointmh.net,703-555-0122,Centreville,Substance Abuse,Yes,HIGH,Court referrals
Valor Behavioral Health,Dr. Brian King,bking@valorbh.org,571-555-0123,Stafford,Military/Veterans,No,HIGH,TRICARE provider
Harmony Counseling Services,Laura Wright LPC,lwright@harmonycounseling.com,703-555-0124,Oakton,Women's Issues,Yes,MEDIUM,Specializes in mothers
Phoenix Rising Therapy,Dr. Daniel Scott,dscott@phoenixrising.net,540-555-0125,Harrisonburg,Addiction Recovery,Yes,HIGH,College town practice
Metro Mental Health Clinic,Elizabeth Green LCSW,egreen@metromentalhealth.org,202-555-0126,Arlington,Urban Mental Health,No,HIGH,Medicaid heavy
Renewal Counseling Center,Dr. Mark Turner,mturner@renewalcc.com,703-555-0127,Great Falls,Executive/Professional,Yes,MEDIUM,High-end clientele
Journey Therapy Services,Samantha Adams LPC,sadams@journeytherapy.net,571-555-0128,Sterling,Life Transitions,Yes,LOW,General practice
Beacon of Hope Counseling,Dr. Paul Phillips,pphillips@beaconofhope.org,703-555-0129,Tysons,Faith-Based,No,LOW,Specific population
Complete Care Behavioral,Nancy Campbell LCSW,ncampbell@completecarebh.com,540-555-0130,Salem,Integrated Primary,Yes,HIGH,FQHC partnership
